x,y
467.8581781047689,-302.63331718705524
467.8581775761075,-302.63331792224324
467.8581775761075,-302.63331792224324
467.85817737070624,-302.6333174361653
467.8581769206371,-302.63331784830757
467.8581769206371,-302.63331784830757
467.8859029976287,-302.65188325523866
468.19343774028084,-302.73551338078664
468.57913765196344,-302.8060517608866
468.7281249204209,-302.80787914122624
468.7725901942526,-302.81755485562843
469.00605675656857,-302.8355322040409
469.2063012177291,-302.8487415924985
469.471392885595,-302.8557581275543
469.82761404757446,-302.8505450933113
470.18413470177177,-302.8311911788361
470.5408925125051,-302.795976103212
470.8979019223281,-302.7448471788338
471.25518652662817,-302.67899858280384
471.6128501689737,-302.5983186913018
471.9708817042724,-302.5024776199707
472.32929566683345,-302.3911882595695
472.688078862316,-302.26420530870325
473.04733010273236,-302.12132501881047
473.4071061949005,-301.9623932691421
473.7673698479492,-301.78731512585324
474.1281617646519,-301.59602460086234
474.48954439632865,-301.3885430218161
474.8499310715454,-301.16494042426433
475.1975779477434,-300.92535532643825
475.5290035746269,-300.67000097353474
475.8427944369463,-300.3991580684254
476.13753321043515,-300.11319044985186
476.41174769650195,-299.8125529176813
476.66391016404066,-299.497783009692
476.8964431423619,-299.173289544761
477.1102314318624,-298.83714879448576
477.3049754177637,-298.49501780392734
477.4815540123252,-298.1512659386841
477.640063305601,-297.80347295980613
477.73749965621056,-297.5259218528137
477.8327122012269,-297.2623931537758
477.8641080626134,-297.07242088440773
477.9036921639775,-296.98409806536745
477.9938104640913,-296.63042094959815
478.0617325211317,-296.27960179450366
478.1117266557168,-295.9115591668495
478.17199886344434,-295.52919589212866
478.23729347643626,-295.14824275616013
478.2985983257572,-294.75976219793716
478.36183771603174,-294.3475464890531
478.4204804839127,-293.9927046931031
478.42459406700283,-293.9511689947577
478.4245936336742,-293.9511690480705
478.42459390266185,-293.95116906413233
478.4245942082503,-293.95116903670345
478.4245939938706,-293.95116918150774
478.42459427617587,-293.9511691839912
478.42459427617587,-293.9511691839912
478.4245940263677,-293.9511693739935
478.4245942945513,-293.9511693936771
478.4245942945513,-293.9511693936771
478.4245940235346,-293.95116960967465
478.42459428336076,-293.95116963925483
478.42459375031126,-293.9511698306008
478.4245939998687,-293.95116987021066
478.4245942548084,-293.9511699054883
478.42459371558726,-293.9511701042152
478.4245942161479,-293.9511701836157
478.4245942161479,-293.9511701836157
478.4245939211697,-293.95117042814314
478.4245943228279,-293.95117053948263
478.4561378385561,-293.83228609916966
478.54920215296323,-293.4543465325048
478.6419988281882,-293.06809893196106
478.7461028226404,-292.6895135404989
478.85031934800827,-292.30257922461067
478.95541088032786,-291.91432448578007
479.0710658391929,-291.5284530423829
479.1820873835958,-291.1560941190258
479.2750320345473,-290.789713603432
479.3538898292481,-290.42105170462713
479.4264242130059,-290.0354366957173
479.49280691080975,-289.6461861541989
479.54371602302683,-289.25386594404847
479.57954768833076,-288.8588841470863
479.58223632903827,-288.5677608936931
479.582631383012,-288.5447687562146
479.58708086576695,-288.2876594963775
479.5704322414756,-287.93412740006966
479.5485318078143,-287.5754156314052
479.50812455057513,-287.20747407428763
479.4637499815409,-286.8334920070623
479.4327068675169,-286.4766829412954
479.40152818374037,-286.09265739572305
479.36776177607015,-285.696807243946
479.3403811140013,-285.2990980398159
479.3110540195652,-284.9000788215448
479.28138146746653,-284.50111997275087
479.2526881863313,-284.1020993776788
479.2254219804087,-283.70298275148053
479.19814757246127,-283.3038722868619
479.1603420734436,-282.914351399891
479.1131635955406,-282.5462159115181
479.06386241256877,-282.16091605955387
479.01136350989856,-281.7612283211549
478.961394283563,-281.4181490163279
478.95973648860047,-281.3794304434491
478.9597344832419,-281.3794318226856
478.9597324695577,-281.3794332101102
478.9597314690882,-281.37943390744164
478.9597294644905,-281.37943533633296
478.9597294644905,-281.37943533633296
478.95972846232627,-281.3794360798245
478.9597274612961,-281.3794369543758
478.9597274612961,-281.3794369543758
478.9597274612961,-281.3794369543758
478.95972666060635,-281.37943795473086
478.95972666060635,-281.37943795473086
478.9597262564931,-281.3794389550078
478.9597262564931,-281.3794389550078
478.9597262564931,-281.3794389550078
478.9597262564931,-281.3794389550078
478.95972615659116,-281.37943995500933
478.95972615659116,-281.37943995500933
478.9595404661415,-281.3785986794655
478.90969081394576,-281.13590375624517
478.81305535564655,-280.49325408089675
478.6653764201847,-279.72244446585955
478.4822390225619,-278.9334715358489
478.2706402081199,-278.1490676192047
478.0388085371489,-277.3803633484561
477.80506248244217,-276.6190680422083
477.56622298078133,-275.85848280532326
477.3257700057886,-275.09743982954154
477.08237333187634,-274.33695314007457
476.83436370408907,-273.57788293363836
476.58312960400656,-272.82069853663813
476.3406180580469,-272.06974088366576
476.10330007857686,-271.30575365879093
475.8659774560345,-270.54176720161576
475.63327648675215,-269.77765110741166
475.4058139417272,-269.0118725326725
475.17830094866696,-268.24603128844376
474.93786564443513,-267.4793747875682
474.68937085260137,-266.71682072290344
474.43920551830337,-265.9571693707437
474.187548030114,-265.199918452552
473.93441894896597,-264.44331089940164
473.67999354839424,-263.6867197331744
473.4245094423751,-262.9301435762028
473.16813160472793,-262.17353539268566
472.91091755162125,-261.41631120567473
472.6532480735922,-260.65971243201557
472.3951085585605,-259.9031887747928
472.1366217881289,-259.14663393467464
471.87747114545635,-258.38941673389036
471.6182924568362,-257.6323826900269
471.3653763981428,-256.87335807408397
471.11663501391297,-256.1120498466817
470.8708742179085,-255.34854540985205
470.6335757910928,-254.5822338740844
470.42817915022124,-253.82236996943308
470.2362580254352,-253.05955568885807
470.0492964693073,-252.2916274926649
469.8660772556019,-251.52021960090985
469.6857554942576,-250.7463808790525
469.5076106083711,-249.97069895397334
469.3311449466961,-249.19364395888834
469.15595588134767,-248.41553636547943
468.9819224314255,-247.63578035541997
468.8098214821472,-246.85441044814408
468.63658510555877,-246.07382703611555
468.4536566343412,-245.2996639366902
468.2535385947486,-244.53221267938665
468.0366120225935,-243.7690950150209
467.80212592826297,-243.0091950335774
467.5583043491829,-242.24926992221472
467.3083475163713,-241.4901509191321
467.0532702824522,-240.7315265055419
466.7939062049978,-239.97313733425736
466.53099001082694,-239.2147521151996
466.2652376660624,-238.4565484585308
465.99752165816454,-237.69959017433717
465.72824232340275,-236.9437699662708
465.45767887731563,-236.18885363128132
465.1860831548303,-235.43473904078198
464.9136202231767,-234.68118229766958
464.6544032415185,-233.92482913182386
464.39728456461773,-233.1649607411962
464.14140844708936,-232.40434653252055
463.88689346561046,-231.6438830652914
